awardnumber,startfiscalyear,endfiscalyear,directcost,allocation_niicode,institution_niicode,project_length,field_niicode,institution_table_group,doi,Title,Authors,Source Title,Publication Date,Publication Year,Conference Title,Conference Date,Total Citations,Average per Year,ave3,ave5
23360161,2011,2013,15400000,0,32612,3,SE,3,10.1007/s00339-013-8096-2,Electron excitation effect on scattering near-field and far-field ablation material processing by femtosecond laser irradiation,"Enami, Taira; Obara, Go; Terakawa, Mitsuhiro; Obara, Minoru",APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,JAN 2014,2014,,,1.0,0.1,0.0,0.0
23360161,2011,2013,15400000,0,32612,3,SE,3,10.1016/j.apsusc.2012.10.125,Tuning the optical properties of gold nanostructures fabricated on flexible substrates,"Nikov, Ru.; Nedyalkov, N.; Atanasov, P. A.; Terakawa, M.; Shimizu, H.; Obara, M.",APPLIED SURFACE SCIENCE,JAN 1 2013,2013,,,9.0,0.82,0.666666667,1.2
23360161,2011,2013,15400000,0,32612,3,SE,3,10.1007/s00340-012-5314-0,Photocatalytic nano-optical trapping using TiO2 nanosphere pairs mediated with Mie-scattered near field,"Honda, Toshiyuki; Terakawa, Mitsuhiro; Obara, Minoru",APPLIED PHYSICS B-LASERS AND OPTICS,APR 2013,2013,,,1.0,0.09,0.0,0.2
23360161,2011,2013,15400000,0,32612,3,SE,3,10.1016/j.apsusc.2011.12.023,Laser annealing of bimetal thin films: A route of fabrication of composite nanostructures,"Nedyalkov, N. N.; Nikov, Ru.; Dikovska, A. Og.; Atanasov, P. A.; Obara, G.; Obara, M.",APPLIED SURFACE SCIENCE,SEP 15 2012,2012,Symposium H on Indium Nitride and Related Alloys/ICAM IUMRS Spring Meeting of the European-Materials-Research-Society (E-MRS),"MAY 09-13, 2011",8.0,0.67,1.0,1.0
23360161,2011,2013,15400000,0,32612,3,SE,3,10.1016/j.pquantelec.2012.03.006,Enhanced localized near field and scattered far field for surface nanophotonics applications,"Terakawa, Mitsuhiro; Takeda, Seiji; Tanaka, Yuto; Obara, Go; Miyanishi, Tomoya; Sakai, Tetsuo; Sumiyoshi, Tetsumi; Sekita, Hitoshi; Hasegawa, Makoto; Viktorovitch, Pierre; Obara, Minoru",PROGRESS IN QUANTUM ELECTRONICS,JAN 2012,2012,,,29.0,2.42,2.0,2.6
23360161,2011,2013,15400000,0,32612,3,SE,3,10.1007/s00340-012-4995-8,High-intensity near-field generation for silicon nanoparticle arrays with oblique irradiation for large-area high-throughput nanopatterning,"Miyanishi, T.; Tsunoi, Y.; Terakawa, M.; Obara, M.",APPLIED PHYSICS B-LASERS AND OPTICS,MAY 2012,2012,,,3.0,0.25,0.666666667,0.6
23360161,2011,2013,15400000,0,32612,3,SE,3,10.1063/1.3624925,Direct observation of surface plasmon far field for regular surface ripple formation by femtosecond laser pulse irradiation of gold nanostructures on silicon substrates,"Obara, Go; Tanaka, Yuto; Nedyalkov, Nikolay N.; Terakawa, Mitsuhiro; Obara, Minoru",APPLIED PHYSICS LETTERS,AUG 8 2011,2011,,,20.0,1.54,1.666666667,2.0
22360079,2010,2012,15000000,0,14401,3,SE,1,10.1063/1.3593462,Turbulence- and buoyancy-driven secondary flow in a horizontal square duct heated from below,"Sekimoto, A.; Kawahara, G.; Sekiyama, K.; Uhlmann, M.; Pinelli, A.",PHYSICS OF FLUIDS,JUL 2011,2011,,,15.0,1.15,0.0,0.0
22360079,2010,2012,15000000,0,14401,3,SE,1,10.1146/annurev-fluid-120710-101228,The Significance of Simple Invariant Solutions in Turbulent Flows,"Kawahara, Genta; Uhlmann, Markus; van Veen, Lennaert","ANNUAL REVIEW OF FLUID MECHANICS, VOL 44",2012,2012,,,211.0,17.58,12.0,13.8
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1063/1.4870839,Droplet epitaxial growth of highly symmetric quantum dots emitting at telecommunication wavelengths on InP(111)A,"Ha, Neul; Liu, Xiangming; Mano, Takaaki; Kuroda, Takashi; Mitsuishi, Kazutaka; Castellano, Andrea; Sanguinetti, Stefano; Noda, Takeshi; Sakuma, Yoshiki; Sakoda, Kazuaki",APPLIED PHYSICS LETTERS,APR 7 2014,2014,,,22.0,2.2,3.666666667,2.8
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1038/ncomms4268,Nuclear magnetization in gallium arsenide quantum dots at zero magnetic field,"Sallen, G.; Kunz, S.; Amand, T.; Bouet, L.; Kuroda, T.; Mano, T.; Paget, D.; Krebs, O.; Marie, X.; Sakoda, K.; Urbaszek, B.",NATURE COMMUNICATIONS,FEB 2014,2014,,,32.0,3.2,4.0,4.4
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1021/cg201513m,Self-Limiting Growth of Hexagonal and Triangular Quantum Dots on (111)A,"Jo, Masafumi; Mano, Takaaki; Abbarchi, Marco; Kuroda, Takashi; Sakuma, Yoshiki; Sakoda, Kazuaki",CRYSTAL GROWTH & DESIGN,MAR 2012,2012,,,36.0,3.0,3.666666667,3.8
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1063/1.4721663,Extremely high-density GaAs quantum dots grown by droplet epitaxy,"Jo, M.; Mano, T.; Sakuma, Y.; Sakoda, K.",APPLIED PHYSICS LETTERS,MAY 21 2012,2012,,,30.0,2.5,3.0,3.6
